Id,SalePrice
1,211380.3326979438
2,193510.5188894907
3,222665.81889837797
4,177950.33454469475
5,304769.09822048945
6,156491.64964580687
7,276400.36068779655
8,211477.16445372766
9,130355.24080267214
10,122684.4549262509
11,120987.29814497872
12,380889.48503102246
13,132937.47449344315
14,228414.28932016017
15,155817.1404774675
16,139342.09695328737
17,161334.0177349625
18,108011.57331409393
19,149275.04085167823
20,119470.33461885457
21,330929.56873271364
22,129896.6337875233
23,228747.45054798116
24,138043.52466493734
25,161804.39426580264
26,240852.96986826303
27,135248.79867256497
28,288386.4232636522
29,185008.89325385843
30,75077.98023284457
31,70971.85075506556
32,139342.6438308777
33,198204.28669801846
34,168578.4526677609
35,278016.6541240867
36,312321.9913658683
37,150507.54196083077
38,146865.9614056875
39,123113.37450053052
40,79926.47262717123
41,142415.73122536595
42,150348.80063845
43,150125.3312553929
44,132090.4970114004
45,145305.6016168631
46,285468.68539731146
47,257663.92055139795
48,251889.19081932725
49,90776.89404476785
50,138613.08266267797
51,180768.3173972283
52,131481.89827632016
53,97097.30606827227
54,320280.12106968206
55,127879.45982163773
56,176431.0230400103
57,203396.25327806015
58,191053.64178071384
59,460966.3498992494
60,116643.34724484326
61,168000.16069434534
62,100097.67631274724
63,222700.7298183438
64,122596.5899563677
65,234524.3045803925
66,304885.726681908
67,226324.06970830233
68,216276.44257851943
69,84928.372870545
70,218846.97276268608
71,260260.4812456849
72,124177.58760263804
73,203395.355497439
74,140250.5119919709
75,100771.4011720234
76,98057.04405899653
77,116973.83071879979
78,115960.12516151858
79,110965.83832614172
80,117775.29744807364
81,196682.8097010701
82,162452.4548054362
83,242199.9043592722
84,129223.90270821116
85,173904.401061888
86,254786.56705100107
87,175453.6465271361
88,165861.55156127742
89,60299.902788343774
90,119459.4958681875
91,105869.81762465757
92,110526.27917851796
93,145081.88044018147
94,164227.761708421
95,194259.18624667302
96,187892.33535847787
97,206712.32048278797
98,110325.89466229195
99,82853.95225808398
100,116567.92360128573
101,208585.81888645407
102,168762.6150002348
103,117280.06122433579
104,191794.29495315452
105,150140.22718323307
106,254576.81487702762
107,96719.27260502552
108,98522.74828287399
109,107095.00406064642
110,195080.9243385103
111,141689.15371445508
112,190888.36835783845
113,352178.51745129004
114,213294.0153613077
115,241863.95747757622
116,165638.31819628205
117,123440.51827556202
118,137202.7319771609
119,339304.328365532
120,186241.36028031973
121,168325.0719563282
122,94786.64582867583
123,139267.62475964567
124,157492.83548790222
125,171679.39800565148
126,97387.79436351573
127,140165.07882236288
128,86095.00097639786
129,143744.24844265752
130,143607.9812371576
131,229136.80732814607
132,215562.58024483916
133,156849.1380786112
134,219739.66500777917
135,177146.63377355985
136,188949.5361172972
137,135420.29855678775
138,189948.22842691196
139,252186.13820770496
140,202590.9362584019
141,99940.38395577057
142,230904.86316777524
143,125912.88769244785
144,218868.5037365125
145,135553.9234512259
146,133334.59384685685
147,115505.48084801318
148,217782.60856419723
149,150876.51400399758
150,111117.00234869788
151,133901.67943955492
152,302009.43678711646
153,184606.4309347442
154,210542.9662586111
155,107564.92190820129
156,82299.74504069048
157,118456.23790866969
158,279101.0074832075
159,229083.54855581844
160,300299.9675192645
161,172410.27372242656
162,408813.60289193323
163,232318.06114441645
164,93700.862360617
165,147173.23160419246
166,113479.7725062113
167,193610.46494347457
168,323581.87397173647
169,197392.09812415147
170,228094.7886613214
171,123880.47108431533
172,198724.3873953078
173,220480.01489823358
174,155025.08224854787
175,185233.82514881235
176,213179.47158040365
177,223419.41706685215
178,175687.75461602694
179,414615.43736604415
180,110948.7494008462
181,169524.23728652406
182,160804.65982490248
183,128912.85789360921
184,179197.56987671976
185,133771.21366012064
186,404281.89063749753
187,184875.38301323124
188,132205.0178704277
189,136703.7334727348
190,267806.65315871115
191,281735.9048586934
192,204231.53515081742
193,206325.4202757692
194,141142.70567341967
195,123995.70379910224
196,148807.69319021414
197,315468.0244754361
198,211713.9365570651
